video,start,text,entities
1,209,"Aber richtig mit … also Ballett hatte es ja sowieso in diesem Sinne … also eben es waren so Walzer in den Operetten oder so etwas. Und dann erst als ich angefangen habe mit etwa 14/15 auf alleine ins Theater zu gehen, dort bin ich dann gezielt in Tanz gegangen. Und glücklicherweise habe ich dort etwa 1962 angefangen und bin dann vor allem aber wegen der Oper von Verdi usw. ins Theater. [00:04:01 ] Ich bin also eigentlich zuerst Opern-Fan gewesen und darum habe ich dann auch Gesangsstunden genommen und bin dann nicht ins Ballett. Es ist zwar so ein bisschen nicht ganz so gegangen wie ich es mir vorgestellt habe, weil es ist ja klar, ich bin eher ein Sopran und hätte natürlich immer gerne die Azucena im „Troubadour“ gesungen. Das wäre so meine Rolle gewesen, das hat mich fasziniert. Bei den Sopranrollen wäre es die Desdemona gewesen, aber dort hat mich eigentlich nicht ihr Gesang fasziniert … das sind alles Sachen, dort in dieser Teenagerzeit als ich viel im Theater war.",Desdemona;Verdi;Walzer
1,282,"Alles zusammen paar mal geschaut mit der Legi und was mich dort fasziniert hat, sie wird ja erdrosselt und dann ist sie so gelegen, den Kopf über das Bett hinunter und so offen mit den Händen und ich habe immer gedacht, das muss wahnsinnig sein so auf der Bühne zu liegen und der Tenor, James McCracken dazumal, der singt dann noch eben diesen schönen Schluss.",James McCracken;Legi
1,311,"Und darum … also ich bin dann eindeutig vom Theater, vom Musiktheater, auf das Ballett gekommen. Aber ich habe selbstverständlich dann die Giselle in Zürich gesehen und eben ich bin dann immer eigentlich auch in den Tanz und habe dort das diese Werke kennengelernt.",Giselle;Zürich
1,330,"Daneben bin ich also auch noch in die Schule gegangen und in der Schule war für mich klar gewesen, dass ich eigentlich Lehrerin werden will. Das habe ich lässig gefunden. Nach der sechsten Klasse habe ich dann nicht ins Gymi gewollt, weil wir quasi auf dem Land gewohnt haben und ich habe gefunden das ist ein bisschen weit weg, obschon ich war ja viel in der Stadt Zürich mit meinen Grosseltern und so.",Stadt Zürich
1,359,"Und ich bin dann in die Sekundarschule und danach ins Kurzzeitgymi, das hat es dazumal gegeben für die Frauen, die Töchterschule. Wir waren nur Mädchen in der Schule und dann habe ich da die Matura gemacht.",Kurzzeitgymi
1,372,"Mit meiner Verbundenheit mit Zürich muss ich noch erzählen, dass mein Grossvater Kantonsbaumeister war und sehr wichtig in der Denkmalpflege. Wir sind mit ihm viel, wenn meine Eltern in die Berge sind ohne Kinder und wir bei den Grosseltern waren, dann sind wir Kirchen anschauen gegangen oder irgendetwas, über das er ein Gutachten schreiben musste oder wo es ihn interessiert hat wie weit sie mit dem Renovieren sind.",Grossvater Kantonsbaumeister;Zürich
1,404,"Und darum habe ich eigentlich Zürich relativ gut gekannt. Und so neben den gewöhnlichen Sachen war selbstverständlich das Sechseläuten mein grosses Fest, die haben mich mitgenommen seit ich ein Baby war.",Zürich
1,420,"Und ich habe dann erst als ich studiert habe gemerkt, dass Marschmusik auch kann Militär bedeuten, weil für mich war Marschmusik ein Frühlingsfest – Sechseläuten – wo ich ein schönes Gewand anhatte, ich habe schon sehr früh immer eine Trachte angehabt und vor allem was mir so aufgefallen ist, meine Grossmutter war völlig aus dem Häuschen.",Militär
1,450,"Die hat … meine Grossmutter war Pianistin, aber sie hat natürlich den Beruf nicht ausgeübt.",
1,456,"Sie hat an der Weihnacht mit meinem Grossvater Weihnachtslieder gespielt, er hat Geige gespielt. Und sie hat am grossen Steinweg-Flügel begleitet, aber sonst habe ich nie etwas von irgendwie einer künstlerischen Tätigkeit dort gesehen.",Grossvater Weihnachtslieder;Weihnacht
1,469,"Sie war eine richtig gute Grossmutter, die immer Zeit hatte und die immer etwas eher Ernsthaftes gehabt hat. Und am Sechseläuten ist sie dann plötzlich gekommen und hat so Zeug erzählt, bei dem sogar ich gemerkt habe, dass sie geschwindelt hat, denn sie hat behauptet, sie habe noch keine Blumen gekauft für das Sechseläuten, sie müsse jetzt unbedingt am Montagmorgen in die Stadt und es war ganz klar, wir haben alle gelacht, wir haben es gewusst, sogar als Kinder, sie wollte die Musik hören gehen, die am Morgen schon kam ein Ständchen bringen.",Stadt;Zeit
1,506,"Meine Familie ist in die Zunft zu Zimmerleuten – übrigens ist gerade mein Schwiegersohn letzten Samstag aufgenommen worden. Und die sind, die Musik, das war die Herisauer Musik damals, die sind immer ins Pfrundhaus, das war damals eben auch ein Altersheim, aber eben für die armen Leute und die sind immer dorthin gegangen um ein Konzert zu geben und darum ist meine Grossmutter überhaupt in die Stadt gegangen. Es war klar gewesen. Das war für mich irgendwie etwas ungewohntes gewesen, ich hatte das Gefühl meine Grossmutter kommt wie in eine Euphorie hinein und das ist das Gefühl das ich auch noch habe beim Sechseläuten, es hat sich irgendwie vererbt.",Herisauer;Pfrundhaus;Stadt
1,546,"Ich muss auch sagen das Sechseläuten ist für mich wichtig und ich finde es ganz lässig, dass meine Enkelin auch schon mitläuft. Aber als wir in Afrika waren, das war das einzige Jahr, an dem ich nicht am Sechseläuten war im Frühling, da wäre ich also, wenn mir einer im Buschspital gesagt hätte, ich könne heim, ich hätte da grad alles liegen gelassen und wäre gegangen.",Afrika;Buschspital
1,571,"Weihnachten, Geburtstag das hat mich nicht so interessiert, aber NICHT am Sechseläuten daheim, das war sehr schlimm.",NICHT;Weihnachten
1,579,"Das hat also irgendwie auch zu Zürich gehört und nachher natürlich Studium in Zürich. Ich habe dann wirklich das studiert, das ich gemacht habe während dem ganzen Gymi. Ich gehöre ja eigentlich zu dieser berühmten 68er Generation, aber ich habe nie für die Beatles, nie für Elvis Presley, nie für irgend so jemand geschwärmt.",Elvis Presley;Zürich;Zürich;die Beatles
1,604,"Ich bin ins Musiktheater gegangen, wir haben dort von den Tenören geschwärmt und ich habe mich sonst in dieser Zeit durch die Weltliteratur durchgelesen.",Ich bin;Zeit
1,620,"Ich habe ziemlich schnell gelesen und mich haben alle diese alten Romane und diese Gedichte und diese Theaterstücke, das hat mich fasziniert. Ich war auch viel im Schauspielhaus und so bin ich eigentlich mit so einer ganz altmodischen, klassischen, gutbürgerlichen Bildung aufgewachsen.",Schauspielhaus
1,640,"Und gegen meine Familie, die ja vor allem in die Berge wollte, um zu schtissen, habe ich mich dann irgendwann … das war so quasi mein Ding, mein Protest als Teenager, wo ich dann erreicht habe, dass ich in einem Frühling, wo wir oberhalb von Pany mit den Fellen ja im Nebel rumgelaufen sind, früher heim durfte an Ostern, weil wir am Ostersamstag habe dann zum ersten Mal den „Parzival“ gesehen.",Ostern;Ostersamstag;Pany;Parzival
1,671,"Das war so für mich … dann hatte ich so das Gefühl, ja, ich bin eben für das Kulturelle in dieser Familie zuständig.",
1,678,"Sonst gab es auch noch etwas, dass in meiner Familie sehr stark war, das war der Naturschutz. Meine Mutter kannte sehr viele Blumen, sie hat sich sehr für Tiere interessiert und mein anderer Bruder leitet ja jetzt als Geschäftsführer BirdLife Schweiz und der ist immer nur dagesessen und hat geschaut und kennt alle Vögel und ist in der ganzen Welt alle Vögel anschauen gegangen. Das ist einfach der andere Teil, den ich jetzt auch immer noch habe.",BirdLife Schweiz
1,709,"Ja und dann habe ich … es war ganz klar, dass ich Germanistik wollte studieren, deutsche Literatur … Ich bin schon während dem Gymi hier und da mal in Vorlesungen gegangen. Und es war aber auch ganz klar, ich will nicht irgendetwas Normales, sagen wir Geschichte, Anglistik, Romanistik oder so etwas studieren, sondern ich will an einen Ort, wo es wenig Studierende hat.",deutsche
1,739,"Dann sind zwei Sachen zur Diskussion gestanden, das eine war Arabistik und das andere Russistik und ich habe mich dann für … und ich habe in meiner Gymiklasse zwei Kolleginnen gehabt, die eine hat Russistik gemacht, also Slavistik sogar im Hauptfach und die andere Arabistik und Romanistik gemacht, aber ich habe mich dann für Russisch entschieden und habe mich dort sehr wohl gefühlt.",Gymiklasse;Russisch;Russistik
1,767,"Weil in der Uni Zürich war Germanistik natürlich riesig, damals auch sehr berühmt mit dem Hotzenköcherle, mit dem Wehrli, mit dem Prof. Staiger, Prof. Binder [Wolfgang Binder] und so weiter. In der Russistik oder Slavistik, Russistik ist das Nebenfach, wo man nur Russisch lernt, wo man nicht noch westslavische und südslavische Sprachen auch noch muss lernen, das wäre dann für Slavistik im Hauptfach obligatorisch …",Binder;Hotzenköcherle;Russisch;Staiger;Uni Zürich;Wehrli;Wolfgang Binder
1,800,"Aber ich habe Russisch gemacht und das war so eine kleine, intime Abteilung. Man hat die Professoren gekannt, man hat alle Studierenden gekannt und das war natürlich sehr lässig.",Russisch
1,816,"Dann habe ich irgendwann promoviert, 1972. Theaterwissenschaft hat es damals noch nicht gegeben, hätte man müssen auf Wien, um zu studieren und das habe ich auch eine Zeit lang gedacht, aber ich habe dann … meine Dissertation ist ja über etwas Theatralisches, denn da geht es ja weniger um die Texte als auch um die Aufführung.",Wien
1,843,"Es ist über Goethe seine Singspiele, das ist quasi das Operetten-Laientheater, das er gemacht hat bevor er auf die Italienreise gegangen ist. Es ist eigentlich so ein bisschen Rokoko-artig und eben es ist vor allem theatralisch.",Goethe;Italienreise;Operetten-Laientheater;Rokoko-artig
1,859,"Es hatte meistens eine Profischauspielerin/-sängerin dabei und die anderen waren dieses Laientheater in Weimar. Das hat mich fasziniert, das muss ich sagen. Und unterdessen weiss ich, dass in diesen kleinen Truppen, die rumgereist sind und solche Sachen aufgeführt haben, auch immer ein Tanzpaar war, aber das habe ich damals noch nicht gewusst, das hat mich noch nicht interessiert. Willst du noch irgendetwas aus dem genauer wissen?",Weimar;Willst du
1,887,I: Das machen wir dann später. Du kannst jetzt einfach weiterfahren nach dem Studium wie es weiter ging.,I
1,892,"P: Ja. Also ich habe …also das mit der Lehrerin war bei mir sehr stark drin und ich habe seit dem sechsten Semester, in dem ich studiert habe, bereits als Hilfslehrerin Deutsch unterrichtet.",Deutsch;P
1,906,"Das war damals die Abteilung vier, das war die schöne Schule zum Stadelhofen, dort in dem Hang drin. Dort habe ich dann eine Klasse gehabt, aber das waren alles Mädchen. Das habe ich gemacht, bis wir weg gegangen sind.",Stadelhofen
1,925,"Als meine Kinder mich später mal gefragt haben: „Du, wie ist das eigentlich mit Heiraten und so?“, habe ich immer gesagt: „Ja wir heiraten nicht bevor wir keinen Beruf haben.“",
1,938,"Das war aber nicht so als hätte ich das gemacht. Weil ich habe mit 22 ein Medizinstudent kennengelernt, genauer gesagt hat er mich auf der Strasse angehauen, auf das reagiert man ja eigentlich nicht, aber er hat ganz, ganz schnell gesagt: „Du, ich sehe dich hier immer herunterlaufen. Du bist offenbar von der Uni, ich laufe da immer hinter dir her.",
1,965,"Kommst du mit mir in ‚Die Schöpfung‘ von Haydn?“ [Joseph Haydn] Und dann habe ich so gedacht, das ist wahrscheinlich schon ein vernünftiger Mensch, wenn er nicht mit mir so ein Schlagerstar schauen möchte, sondern eben etwas, was ich als hohe Kultur angesehen habe.",Haydn;Joseph Haydn;Kommst du mit mir in ‚Die Schöpfung
1,982,Und dann habe ich mit ihm geredet und wir sind dann aber ins Schauspielhaus miteinander und seit dort waren wir zusammen.,Schauspielhaus
1,989,"Und irgendwann haben wir uns dann verlobt und als er fertig studiert hat und ein Jahr gearbeitet hat als Assistenz, dann haben wir geheiratet. Und ich habe dann noch fertig studiert.",
1,1001,"Das war eigentlich dann das. Und er hat mir von Anfang an gesagt – und das sind Sachen, die mein Leben sehr bestimmt haben – er wolle einmal Allgemeinpraktiker auf dem Land werden. Also nichts von in Zürich bleiben und dort wieder weiterwohnen. Aber irgendwo in einem Dorf wolle er Hausarzt sein.",Zürich
1,1029,"Das war das eine, aber bevor er das mache, wolle er nach Afrika, um zu leben und irgendwo dort in ein Buschspital. Das waren so die Eckdaten, das wusste ich. Ich habe dann natürlich auch gewusst, er hat dann zuerst zwei Jahre Ausbildung gemacht als Assistenzarzt und ich habe gewusst, in dieser Zeit muss ich fertig werden.",Afrika;Ausbildung;Zeit
1,1052,"Und es war eigentlich auch so, als ich dann mit ihm zusammen war, war ja klar geworden, dass ich nicht ein Zusatzsemester, in dem ich mehr Theaterwissenschaft oder so etwas in Berlin oder in Wien, wo viele der Kollegen gegangen sind, dass das einfach nicht geht, sondern dass ich wenigstens mein Studium abschliessen muss. Unterrichtet habe ich immer, aber ein, zwei Klassen. Also vier oder acht Stunden, das war eigentlich so das Ding.",Berlin;Wien
1,1083,"Dann sind wir 1974 wirklich auf Afrika. Wir haben zuerst lange gesucht und haben sehr viele Angebote gehabt, in denen wir für zwei Jahre gehen hätten können. Wir hatten immer die Idee, eines würde eigentlich schon reichen und ein halbes Jahr reisen. So eineinhalb Jahre weg.",Afrika
1,1107,"Dann nacher haben wir wieder von einem Spital den Brief bekommen, ja, sie würden uns schon nehmen, aber für zwei Jahre.",
1,1117,"Dann haben wir an der Hochzeit von der jüngsten Schwester von meinem Mann einen Arzt kennengelernt, der war Herzspezialist und hat im Groote Schuur Hospital in Kapstadt auf der Herzabteilung gearbeitet. Dann hat er gesagt: „Du, ich habe dort unten ein Ferienjob, dort gibt es ein kleines Missionsspital im Busch draussen.",Busch;Groote Schuur Hospital;Kapstadt
1,1143,"Da lernst du Afrika wirklich kennen. Die nehmen dich auch für ein Jahr.“ Dann haben wir denen geschrieben und die waren reizend, die haben schon gerade im ersten Brief, den sie zurückgeschrieben haben, gesagt, „Ja, Sie müssen einen Regenschutz mitnehmen.“.",
1,1158,"Sie wären zwar in Afrika – also es war in Südafrika, damals ein Bantu-Homeland, das war ja noch zur Zeit der Apartheid – und sie wären auf 1600 Meter, es habe kein Malaria, aber es könne kalt sein und manchmal hätten sie auch Schnee. Wir sollten genügend warme Kleider mitnehmen und wir werden in so einem Rondal,",Afrika;Rondal;Südafrika;Zeit der Apartheid
1,1182,"einer Rundhütte mit einem Strohdach, wohnen und sie freuen sich auf uns.",
1,1190,"Aber ich könne selbstverständlich nicht arbeiten, weil in einem Bantu-Homeland hat man alle die Berufe, die die Schwarzafrikaner auch machen konnten, selbstverständlich nicht einem Weissen gegeben.",Schwarzafrikaner
1,1204,"Da waren einfach nur die Ärzte, weil sie zu wenig Ärzte hatten. Ja und dann haben wir uns aufgemacht, wir haben unser Auto ausstaffiert, so dass wir hinten drin schlafen konnten und sind dann mit dem Schiff auf Südafrika gefahren.",Südafrika
1,1224,"Kapstadt, die Einfahrt in Kapstadt, war wunderschön. Dann sind wir dort raus mit unserem Auto. Wir hatten Freunde dort unten, die Freundin mit der ich heute noch reisen gehe und ins Theater und sie hat uns abgeholt.",Kapstadt;Kapstadt
1,1245,"Wir konnten dann dort wohnen und zuerst sind wir mal einen Monat lang durch Südafrika gereist und dann haben wir im September angefangen im Missionsspital. Das war wirklich sehr, sehr spannend, denn es war ziemlich abgelegen.",Missionsspital;Südafrika
1,1263,"Und weil es ein anglo-anglikanisches Missionsspital war, war es eigentlich auch ein sehr gutes Verhältnis mit den Eingeborenen. Der Chef dort, der war ein zufriedener, ziemlich wohlhabender Arzt in Brighton (England) und hatte irgendwann eine Vision von einer Silhouette von Bergen. Dorthin, dorthin müsse er.",Bergen;Brighton;England;anglo-anglikanisches
1,1289,"Dann ging er das suchen und dann hat er den Berg gesehen, das ist wirklich wunderschön, diese Tafelberge. Das ist übrigens diese Gegend, wo Nelson Mandela auch aufgewachsen ist. Und er hat das Spital dort unten aufgebaut. Dann zu denen sind wir dann gekommen.",Nelson Mandela
1,1306,"Wir waren ein bisschen Aussenseiter. Sie haben uns auch gelassen Aussenseiter sein, weil mein Mann ist Katholik und ich bin Protestantin und es war eine anglikanische Geschichte gewesen dort.",
1,1316,"Wir waren einfach an den grossen Feiertagen, wir auch, wie das ganze Dorf, wie alle Leute, die dort gearbeitet haben, sind wir selbstverständlich in die Kirche gegangen. Immer mit einem neuen Rock, denn jeder Mann dort unten, ob schwarz oder weiss, hat der Frau auf die Weihnachten einen neuen Rock geschenkt.",Kirche;Weihnachten
1,1336,Das war dort unten natürlich … wir haben es damals als Abenteuer empfunden. Mein Mann hatte sehr viele Patienten. Interessant für mich … Und ich habe natürlich sehr viel selbst machen müssen. Sie haben uns dann weiter geschrieben:,Mein Mann
1,1355,"Eben eine Stunde weg, in der Hauptstadt von Mthatha, von der Transkei, wie das hiess. Das liegt also zwischen Lesotho und der Küste, wenn man sich das möchte vorstellen in so einer Karte von Südafrika.",Lesotho;Mthatha;Südafrika;Transkei
1,1371,"Die haben uns dann geschrieben, ja so Basic Food gäbe es in Mthatha. Dann haben wir uns überlegt, gehört echt für einen Engländer bei Basic Food Spaghetti dazu.",Basic Food;Engländer;Mthatha
1,1384,"Was uns am meisten zu schaffen gemacht hat, war, dass wir keinen richtig guten Käse bekommen haben. Aber wir haben dann entdeckt, dass wir in East London unten … das war so eine Weekendtour dort runter, 2-3 Stunden mit dem Auto, dort hatten sie finnischen Emmentaler und den haben wir glaube ich ganz alleine gegessen.",East London;finnischen
1,1407,"Wir sind immer wieder kaufen gegangen. Und sonst war es natürlich ganz grossartig, wir sind schon in die ersten Tierpärke bevor wir nur dort rauf sind.",
1,1415,"Und er hat immer quasi 12 Tage am Stück gearbeitet, weil ein Wochenende hatte man Dienst, da war die Hälfte der Ärzte weg und dafür hat man dann Freitag, Samstag, Sonntag, also sogar eben 11 Tage, und dann hat man drei Tage frei gehabt.",
1,1436,"Und dort konnte man natürlich dann reisen gehen nach Durban, man konnte man die Küste runter. Die Wild Coast war wirklich wild, dort konnte man zelten oder in eine Hütte und von dort habe ich meine Muschelsammlung und alles. Und man konnte weiter gehen. Auf jeden Fall hatten wir es dort sehr spannend gehabt, weil wir dort so quasi dazugehört haben.",Durban;Wild Coast
1,1468,"Es ist ja … einfach ein Beispiel wie so die Leute dort, die Missionsdoktoren, die haben natürlich alle gekannt so viel Missionsspitäler gab es ja nicht, das Einzugsgebiet war ziemlich gross … Ich bin mal mit zwei anderen Frauen einkaufen gegangen, mitten in der einzigen Kreuzung in dieser Hauptstadt drin, da sind wir stecken geblieben.",
1,1492,"Ihr Auto ist einfach gar nicht mehr gegangen. Wir sind ausgestiegen und haben uns ein bisschen umgeschaut, da sind von allen Seiten Einheimische gekommen und haben gesagt, also wir müssen überhaupt keine Angst haben, sie wissen schon, wohin wir gehören, wir gehören dort auf St. Cuthbert’s, in dieses Missionsspital und sie helfen uns schon, also sie müssten …",St. Cuthbert’s
1,1511,"Und wir hatten auch eigentlich gar keine Angst, aber es ist natürlich ganz klar, es hatte damals kein Handy und wir hätten müssen einen schicken zum unseren Männern sagen, sie sollen uns holen oder wir hätten müssen jemand, der uns kennt dort hin führen. Sie haben dann aber das Auto so weit zusammengeflickt, dass wir heimkonnten.",
1,1533,"Aber es war natürlich schon ganz anders, man hatte eigentlich überhaupt keine Verbindung dort. Immer mit einer Verspätung von 10-14 Tagen ist die NZZ gekommen.",NZZ
1,1546,"Und wenn man telefonieren wollte, haben die von Dorf zu Dorf noch gestöpselt. Dann musste man auf Kapstadt runter, Stöpsel, Stöpsel, Stöpsel, Stöpsel und dort eine internationale Linie mieten für eine bestimmte Zeit oder reservieren.",Kapstadt;Stöpsel
1,1567,"Das haben wir aber nie gemacht, weil wir sind nie mit dem Stöpsel so weit gekommen, dass wir bis auf Kapstadt gekommen sind. Also sind wir immer mit Briefen auf dem Laufenden gewesen, was drei Wochen vorher daheim passiert ist.",Kapstadt
1,1586,"Etwas anderes, ganz tolles, das wir unten gehabt haben, wir hatten drei Wochen Ferien. Und unsere ersten Ferien sind wir in das Zululand und dort in die Berge rauf und haben dort in einem kleinen Tierpark auch eine Safari gemacht, wo man zu Fuss unterwegs war Nashörner anschauen.",Nashörner;Safari;Zululand
1,1610,"Da sind wir so vier Tage mit sechs Touristen quasi, Touristen vom Land quasi, zu denen haben wir gehört, mit zwei Führern durch die Steppe dort gelaufen und wir haben sie damals ziemlich von nahem gesehen und natürlich auch sonst viele spannende Sachen.",
1,1634,"Und von Südafrika sind wir insgesamt schon ungefähr in 20 Tierparks gewesen, einfach dort unten. Von dort ist natürlich auch mein Ding, dass ich nachher immer nach Afrika musste reisen.",Afrika;Südafrika
1,1647,"Das war immer auch unser Gemeinsames. Mein Mann ist auch gerne ins Konzert, er hat sehr gut Flöte gespielt im Gymi im Schülerorchester, aber es hat das nicht gross weitergeführt, weil als Mediziner hat man nicht so viel Freizeit.",Mein Mann
1,1667,"Und aber die Reise, die Natur, das war eigentlich schon das, was wir immer gemeinsam hatten. Zweite Reise sind wir rauf dort, was früher Südwestafrika hiess und jetzt Namibia heisst und wo man noch, immer wenn man in ein abgelegenes Gebiet ging, ein Permit holen musste in Windhoek.",Namibia;Permit;Südwestafrika;Windhoek;Zweite Reise
1,1694,"Aber wir haben dort sehr viel Abenteuer erlebt mit Sitzenbleiben, also mit dem Auto, weil selbstverständlich hatten wir kein Four Wheel Drive, wir hatten einfach ein VW Caravan und mit dem ist man eigentlich überall durchgekommen, wenn nicht gerade etwas passiert ist.",Four Wheel Drive;VW Caravan
1,1717,"Und ich muss manchmal ein bisschen lachen, wenn diese jungen Frauen ein Four Wheel Drive brauchen, um da bei uns, wo es relativ selten schneit, den Berg raufzukommen in ihr Einfamilienhaus.",Four Wheel Drive
1,1730,"Dann denke ich mir, ja also, man würde es auch ohne schaffen. Wir sind auch dort in den Regen gekommen,",
1,1737,"das sind ja alles keine geteerten Strassen dort. Dann hatten wir zum Glück in unserem Auto noch unsere Schneeketten und mit Schneeketten kann man so Outdoor durch,",
1,1747,"sagen wir 10cm Pflatsch, durch diese Dreckstrassen fahren. Das ist gut gegangen. Ja, das war Namibia, da sind wir dann später auch noch mehr als einmal wieder zurück und das schweisst natürlich schon zusammen.",Dreckstrassen;Namibia
1,1768,"Noch vorher, das muss ich vielleicht nachholen, wo wir verheiratet waren aber noch in der Schweiz gewohnt haben, haben wir eigentlich unsere Freizeit damit verbracht die Orchideen der Schweiz zu fotografieren. Und wir haben auch fast alle gesehen.",Schweiz;der Schweiz
1,1786,"Wir sind in der ganzen Schweiz rumgereist zu den verschiedenen Jahreszeiten, in denen die Orchideen blühen und auch dort war natürlich … das war nicht eine super Kamera, die man einfach kaufen und einstellen konnte, sondern man hat mit Gummibändern noch Sachen dran gemacht und ich musste immer das Licht halten und manchmal musste ich auch schauen, dass der Wind diese Orchideen nicht umgeblasen hat, weil sonst waren sie bereits wieder zum Sucher raus.",Schweiz
1,1814,"Aber die Fotos lassen sich immer noch sehen und wir freuen uns noch heute. Wir haben auch in Afrika immer Orchideen angeschaut. Wir sind dann in Mittelmeergebiete, Kreta und Mallorca, aber so früh, dass eben die Orchideen geblüht haben.",Afrika;Kreta;Mallorca;Mittelmeergebiete
1,1833,"Und auf der letzten Reise, die wir miteinander gemacht haben, auf Island, haben wir auch plötzlich wieder viele einheimische Orchideen gefunden, weil wenn man mal das AUGE dafür hat, dann ist das natürlich …",AUGE;Island
1,1845,"Ja, das ist Afrika. Wir haben dann beschlossen wir wollen heimreisen, nein, ich muss vielleicht vorher noch etwas sagen.",Afrika
1,1859,"Wir hatten dort das Glück, dass das Gebiet noch ziemlich ursprünglich war. Also es hatte viele Frauen, die noch traditionell angezogen waren mit ihrem beadworks, ihrem Perlenschmuck, der aber eine Bedeutung hatte.",
1,1884,"Und das ist das, was ich dort machen konnte. Nämlich in der Beschäftigungstherapie, die von drei einheimischen Nonnen geführt wurde, die haben mit den Frauen, die Frauen mussten ja auch mit ins Spital kommen, wenn das Kind krank war oder die Frauen, wenn sie krank waren, die sind dann meistens ziemlich lange geblieben, weil die hatten ja auch Ernährungslehre.",
1,1909,"Weil Männer haben dort unten grundsätzlich kein Gemüse gegessen und für Frauen hatte es keine Eier und keine Milch gegeben, das waren so Traditionen, also hatte man dort noch ziemlich Mangelernährung und die hat man dann ziemlich lange dort drin [im Spital] behalten.",
1,1925,"Und die hatten dann verschiedene Arten von Beschäftigungen und ich habe geholfen diesen einheimischen Nonnen Material zu beschaffen, weil ich bin immer hier und da schauen gegangen, was die so machen.",
1,1941,"Mich hat das auch interessiert, ich habe auch immer gerne Handarbeiten gemacht und dann haben sie manchmal hier und da vergessen wieder Krällchen zu bestellen oder diese Frauen haben auch sehr gerne gestrickt und wieder Wolle bestellen, das war dann ich, die dort geschaut hat.",Mich
1,1958,"Weil das war etwas, was man an freiwilliger Arbeit machen konnte. Und was natürlich das andere war, wir waren an Feste eingeladen gewesen, auch Hochzeiten und wir sind an eine Zeremonie eingeladen gewesen, wo die Buben beschnitten wurden.",
